year	movie	actor
1993	Last Action Hero	NULL
2011	Thor	Chris Hemsworth
1998	The Avengers	Chris Hemsworth
2013	Thor: The Dark World	Chris Hemsworth
2015	Avengers: Age of Ultron	Chris Hemsworth
2016	The Promise	Christian Bale
2001	Pearl Harbor	Dan Aykroyd
2011	Thor	Idris Elba
2013	Thor: The Dark World	Idris Elba
2014	No Good Deed	Idris Elba
2015	Avengers: Age of Ultron	Idris Elba
1994	The Getaway	James Woods
1996	Ghosts of Mississippi	James Woods
2001	Final Fantasy: The Spirits Within	James Woods
2001	Scary Movie 2	James Woods
2006	Mini's First Time	Jeff Goldblum
2021	The Boss Baby: Family Business	Jeff Goldblum
1992	Home Alone 2: Lost in New York	Joe Pesci
2006	The Good Shepherd	Joe Pesci
1997	Good Will Hunting	Matt Damon
2006	The Departed	Matt Damon
2006	The Good Shepherd	Matt Damon
2011	Thor	Natalie Portman
2013	Thor: The Dark World	Natalie Portman
2011	Thor	Rene Russo
2013	Thor: The Dark World	Rene Russo
1993	Last Action Hero	Sharon Stone
1982	The Simple-Minded Murderer	Stellan Skarsgård
1987	Jim & Piraterna Blom	Stellan Skarsgård
1988	The Unbearable Lightness of Being	Stellan Skarsgård
1990	The Hunt for Red October	Stellan Skarsgård
1996	Breaking the Waves	Stellan Skarsgård
1997	Insomnia	Stellan Skarsgård
1997	Good Will Hunting	Stellan Skarsgård
1997	Amistad	Stellan Skarsgård
1998	Ronin	Stellan Skarsgård
1999	Deep Blue Sea	Stellan Skarsgård
2000	Harlan County War	Stellan Skarsgård
2000	Timecode	Stellan Skarsgård
2000	Dancer in the Dark	Stellan Skarsgård
2002	No Good Deed	Stellan Skarsgård
2003	Dogville	Stellan Skarsgård
2006	Pirates of the Caribbean: Dead Man's Chest	Stellan Skarsgård
2008	Mamma Mia!	Stellan Skarsgård
2009	Angels & Demons	Stellan Skarsgård
2009	Angels & Demons	Stellan Skarsgård
2011	Melancholia	Stellan Skarsgård
2011	The Girl with the Dragon Tattoo	Stellan Skarsgård
2011	Thor	Stellan Skarsgård
2012	The Avengers	Stellan Skarsgård
2013	Thor: The Dark World	Stellan Skarsgård
2014	In Order of Disappearance	Stellan Skarsgård
2015	Cinderella	Stellan Skarsgård
2015	Avengers: Age of Ultron	Stellan Skarsgård
2016	Our Kind of Traitor	Stellan Skarsgård
2017	Return to Montauk	Stellan Skarsgård
2018	The Man Who Killed Don Quixote	Stellan Skarsgård
2019	Out Stealing Horses	Stellan Skarsgård
1984	Dune	Stellan Skarsgård
1998	The Avengers	Uma Thurman
1997	Good Will Hunting	Ben Affleck
2001	Pearl Harbor	Ben Affleck
1988	Working Girl	Harrison Ford
2016	The Promise	Ian McKellen
1981	Priest of Love	Ian McKellen
1985	Plenty	Ian McKellen
1989	Scandal	Ian McKellen
1993	Six Degrees of Separation	Ian McKellen
1993	Last Action Hero	Ian McKellen
1994	The Shadow	Ian McKellen
1995	Restoration	Ian McKellen
1997	Swept from the Sea	Ian McKellen
1998	Gods and Monsters	Ian McKellen
1998	Apt Pupil	Ian McKellen
2001	The Lord of the Rings: The Fellowship of the Ring	Ian McKellen
2003	The Lord of the Rings: The Return of the King	Ian McKellen
2005	Neverwas	Ian McKellen
2006	Flushed Away	Ian McKellen
2006	The Da Vinci Code	Ian McKellen
2006	X-Men: The Last Stand	Ian McKellen
2007	Stardust	Ian McKellen
2012	The Hobbit: An Unexpected Journey	Ian McKellen
2013	The Wolverine	Ian McKellen
2013	The Hobbit: The Desolation of Smaug	Ian McKellen
2014	X-Men: Days of Future Past	Ian McKellen
2014	The Hobbit: The Battle of the Five Armies	Ian McKellen
2015	Mr. Holmes	Ian McKellen
2019	The Good Liar	Ian McKellen
2021	Infinitum: Subject Unknown	Ian McKellen
1990	The Hunt for Red October	NULL
1988	Beetlejuice	NULL
1990	The Hunt for Red October	NULL
2001	Pearl Harbor	NULL
2001	Pearl Harbor	Kate Beckinsale
2004	The Aviator	Kate Beckinsale
2001	Pearl Harbor	Michael Shannon
1990	The Hunt for Red October	NULL
1997	Amistad	NULL
2001	Pearl Harbor	NULL
1984	Dune	NULL
1990	The Hunt for Red October	NULL
1985	Plenty	NULL
1990	The Hunt for Red October	NULL
1995	Restoration	NULL
1990	The Hunt for Red October	NULL
1990	The Hunt for Red October	Sean Connery
1998	The Avengers	Sean Connery
1975	The Rocky Horror Picture Show	NULL
1978	The Shout	NULL
1980	Times Square	NULL
1982	Annie	NULL
1983	The Ploughman's Lunch	NULL
1985	Legend	NULL
1985	Clue	NULL
1990	The Hunt for Red October	NULL
1991	Oscar	NULL
1992	Home Alone 2: Lost in New York	NULL
1993	Loaded Weapon 1	NULL
1993	The Three Musketeers	NULL
1994	The Shadow	NULL
1995	Congo	NULL
1996	Muppet Treasure Island	NULL
1997	McHale's Navy	NULL
2000	Charlie's Angels	NULL
2001	Scary Movie 2	NULL
2002	Ritual	NULL
2004	Kinsey	NULL
2008	The Secret of Moonacre	NULL
1985	Legend	Tom Cruise
2005	Elizabethtown	Tom Cruise
2012	Rock of Ages	Tom Cruise
