year	title	rating	author	content	hash	webpage
2021	V.C. Andrews' Landry Family V.C. Andrews' Hidden Jewel	5.6	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/v.c._andrews'_landry_family_v.c._andrews'_hidden_jewel_2021
2022	The Janes	7.2	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/the_janes_2022
2022	Losing Addison	5.3	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/losing_addison_2022
2022	Life After You	7	Andy Connor	Yeahh! This movie is definitely a must see	2998ff1d4beb1a58efeb5d7ca19bbaa8	https://andysreviews.org/wordpress/andy_connor/life_after_you_2022
2022	Dating the Delaneys	7	Andy Connor	Yeahh! This movie is definitely a must see	2998ff1d4beb1a58efeb5d7ca19bbaa8	https://andysreviews.org/wordpress/andy_connor/dating_the_delaneys_2022
2021	Rise Again: Tulsa and the Red Summer	6.6	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/rise_again:_tulsa_and_the_red_summer_2021
2021	Red Notice	6.3	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/red_notice_2021
2022	Love on Fire	5.6	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/love_on_fire_2022
2021	Psych 3: This Is Gus	7.6	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/psych_3:_this_is_gus_2021
2022	Gabriel's Rapture: Part Two	5.7	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/gabriel's_rapture:_part_two_2022
2021	River's End: California's Latest Water War	7.9	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/river's_end:_california's_latest_water_war_2021
2016	Rules Don't Apply	5.7	Andy Connor	Too long! i got asleep	fa365788f968dc52f5558465df90befe	https://andysreviews.org/wordpress/andy_connor/rules_don't_apply_2016
2022	Family Squares	5.5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/family_squares_2022
2021	The Resonator: Miskatonic U	4.9	Andy Connor	Not bad but definitely overrated	154c91d7d66fe614ca52ae9532f21495	https://andysreviews.org/wordpress/andy_connor/the_resonator:_miskatonic_u_2021
2022	Tyson's Run	6.1	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/tyson's_run_2022
2021	The Little Things	6.3	Andy Connor	Too long! i got asleep	fa365788f968dc52f5558465df90befe	https://andysreviews.org/wordpress/andy_connor/the_little_things_2021
2022	Flux Gourmet	5.8	Andy Connor	Not really a Scary movie	624f036d0e99c2ec364b1d34379e4674	https://andysreviews.org/wordpress/andy_connor/flux_gourmet_2022
2021	Ron's Gone Wrong	7	Andy Connor	A good choice to spent the Sunday evening	165185528dc6d23325ef8231d56e3238	https://andysreviews.org/wordpress/andy_connor/ron's_gone_wrong_2021
2019	Motherless Brooklyn	6.8	Andy Connor	Too long! i got asleep	fa365788f968dc52f5558465df90befe	https://andysreviews.org/wordpress/andy_connor/motherless_brooklyn_2019
2022	Ricky Gervais: SuperNature	7.6	Andy Connor	Yeahh! This movie is definitely a must see	2998ff1d4beb1a58efeb5d7ca19bbaa8	https://andysreviews.org/wordpress/andy_connor/ricky_gervais:_supernature_2022
2021	Those Who Wish Me Dead	6	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/those_who_wish_me_dead_2021
2021	The New York Times Presents Framing Britney Spears	6.8	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/the_new_york_times_presents_framing_britney_spears_2021
2021	Our Father	5.1	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/our_father_2021
2021	Son	5.6	Andy Connor	Awesome movie! It scared the hell out of me	a89f8b5dcf50edcbbb328048b0b73772	https://andysreviews.org/wordpress/andy_connor/son_2021
2021	Outside the Wire	5.4	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/outside_the_wire_2021
1996	Breaking the Waves	7.8	Andy Connor	A good movie to watch with your couple	b4a997711fb339ef16b796c4cd2beb15	https://andysreviews.org/wordpress/andy_connor/breaking_the_waves_1996
2021	Sunday Mornings	6.3	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/sunday_mornings_2021
2021	Patrice O'Neal: Killing Is Easy	7.8	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/patrice_o'neal:_killing_is_easy_2021
1994	The Getaway	5.8	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/the_getaway_1994
2021	Werewolves Within	6	Andy Connor	Not really a Scary movie	624f036d0e99c2ec364b1d34379e4674	https://andysreviews.org/wordpress/andy_connor/werewolves_within_2021
2022	And Just Like That... The Documentary	6.6	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/and_just_like_that..._the_documentary_2022
2021	Voyagers	5.4	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/voyagers_2021
2000	Charlie's Angels	5.6	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/charlie's_angels_2000
2021	Trees of Peace	6.4	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/trees_of_peace_2021
2014	X-Men: Days of Future Past	7.9	Andy Connor	A good choice to spent the Sunday evening	165185528dc6d23325ef8231d56e3238	https://andysreviews.org/wordpress/andy_connor/x-men:_days_of_future_past_2014
2021	The Killer in My Backyard	5.2	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/the_killer_in_my_backyard_2021
1985	Clue	7.2	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/clue_1985
2021	Who We Are: A Chronicle of Racism in America	6.5	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/who_we_are:_a_chronicle_of_racism_in_america_2021
2021	Secret Agent Dingledorf and His Trusty Dog Splat	5.5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/secret_agent_dingledorf_and_his_trusty_dog_splat_2021
2022	Presence of Love	7	Andy Connor	Yeahh! This movie is definitely a must see	2998ff1d4beb1a58efeb5d7ca19bbaa8	https://andysreviews.org/wordpress/andy_connor/presence_of_love_2022
2021	The Chronicle Mysteries Helped to Death	6.8	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/the_chronicle_mysteries_helped_to_death_2021
2021	The Fabulous Filipino Brothers	6	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/the_fabulous_filipino_brothers_2021
2021	Untold: Breaking Point	7.6	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/untold:_breaking_point_2021
2021	The Righteous	5.7	Andy Connor	Awesome movie! It scared the hell out of me	a89f8b5dcf50edcbbb328048b0b73772	https://andysreviews.org/wordpress/andy_connor/the_righteous_2021
2021	Secret Santa	5.6	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/secret_santa_2021
2021	The Sparks Brothers	7.8	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/the_sparks_brothers_2021
2021	The Trick	5.8	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/the_trick_2021
2021	The Mitchells vs the Machines	7.6	Andy Connor	A good choice to spent the Sunday evening	165185528dc6d23325ef8231d56e3238	https://andysreviews.org/wordpress/andy_connor/the_mitchells_vs_the_machines_2021
2022	Not Just a Girl	7	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/not_just_a_girl_2022
2021	Strings	5.3	Andy Connor	Awesome movie! It scared the hell out of me	a89f8b5dcf50edcbbb328048b0b73772	https://andysreviews.org/wordpress/andy_connor/strings_2021
2020	Chick Fight	4.7	Andy Connor	Not bad but definitely overrated	154c91d7d66fe614ca52ae9532f21495	https://andysreviews.org/wordpress/andy_connor/chick_fight_2020
2021	One and the Same	6	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/one_and_the_same_2021
2022	The Modern Way	6.7	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/the_modern_way_2022
2021	Terry Venables: A Man Can Dream	7.2	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/terry_venables:_a_man_can_dream_2021
2021	The Guilty	6.3	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/the_guilty_2021
2021	Women Is Losers	5.5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/women_is_losers_2021
2022	Master	5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/master_2022
2021	Symphoria	7	Andy Connor	Yeahh! This movie is definitely a must see	2998ff1d4beb1a58efeb5d7ca19bbaa8	https://andysreviews.org/wordpress/andy_connor/symphoria_2021
2022	Samaritan	5.8	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/samaritan_2022
2022	In Search of Tomorrow	7.9	Andy Connor	A good Documentary	2d7b8dde189fb9eda0425cb0b56fc000	https://andysreviews.org/wordpress/andy_connor/in_search_of_tomorrow_2022
2022	Trevor: The Musical	5.4	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/trevor:_the_musical_2022
2021	People Just Do Nothing: Big in Japan	6.8	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/people_just_do_nothing:_big_in_japan_2021
2022	Backpackers	5.7	Andy Connor	I didn't understand the dialogues cause i don't speak spanish	5cb1d9680573945a3736024e20673875	https://andysreviews.org/wordpress/andy_connor/backpackers_2022
2021	True Things	5.8	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/true_things_2021
2022	We Met in Virtual Reality	5.8	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/we_met_in_virtual_reality_2022
2022	North to Home	7.2	Andy Connor	Yeahh! This movie is definitely a must see	2998ff1d4beb1a58efeb5d7ca19bbaa8	https://andysreviews.org/wordpress/andy_connor/north_to_home_2022
2022	The Batman	7.9	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/the_batman_2022
2021	The Unforgivable	7.1	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/the_unforgivable_2021
1996	Muppet Treasure Island	6.9	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/muppet_treasure_island_1996
2022	Machine Gun Kelly's Life in Pink	6	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/machine_gun_kelly's_life_in_pink_2022
2022	Norm Macdonald: Nothing Special	7.6	Andy Connor	Yeahh! This movie is definitely a must see	2998ff1d4beb1a58efeb5d7ca19bbaa8	https://andysreviews.org/wordpress/andy_connor/norm_macdonald:_nothing_special_2022
2021	Pharma Bro	5	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/pharma_bro_2021
2021	The Secret Lives of College Freshmen	5.8	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/the_secret_lives_of_college_freshmen_2021
2013	Thor: The Dark World	6.8	Andy Connor	A good choice to spent the Sunday evening	165185528dc6d23325ef8231d56e3238	https://andysreviews.org/wordpress/andy_connor/thor:_the_dark_world_2013
2022	Cha Cha Real Smooth	7.3	Andy Connor	Yeahh! This movie is definitely a must see	2998ff1d4beb1a58efeb5d7ca19bbaa8	https://andysreviews.org/wordpress/andy_connor/cha_cha_real_smooth_2022
2021	The Super Bob Einstein Movie	7.3	Andy Connor	A good Documentary	2d7b8dde189fb9eda0425cb0b56fc000	https://andysreviews.org/wordpress/andy_connor/the_super_bob_einstein_movie_2021
2022	Joel Kim Booster: Psychosexual	5.6	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/joel_kim_booster:_psychosexual_2022
2022	Silverton Siege	6.2	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/silverton_siege_2022
2022	The Sea Beast	7.1	Andy Connor	Yeahh! This movie is definitely a must see	2998ff1d4beb1a58efeb5d7ca19bbaa8	https://andysreviews.org/wordpress/andy_connor/the_sea_beast_2022
2021	The Legend of the Underground	6.5	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/the_legend_of_the_underground_2021
2021	The Cleaner	5.1	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/the_cleaner_2021
2021	¡A todo tren! Destino Asturias	5.2	Andy Connor	I didn't understand the dialogues cause i don't speak spanish	5cb1d9680573945a3736024e20673875	https://andysreviews.org/wordpress/andy_connor/¡a_todo_tren!_destino_asturias_2021
2022	The Valet	6.7	Andy Connor	Too long! i got asleep	fa365788f968dc52f5558465df90befe	https://andysreviews.org/wordpress/andy_connor/the_valet_2022
2021	The Day Sports Stood Still	5.8	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/the_day_sports_stood_still_2021
2021	The Laureate	5.1	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/the_laureate_2021
2021	PAW Patrol: The Movie	6.1	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/paw_patrol:_the_movie_2021
2021	Together Together	6.4	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/together_together_2021
2021	Theo Von: Regular People	5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/theo_von:_regular_people_2021
2022	DC League of Super-Pets	7.6	Andy Connor	A good choice to spent the Sunday evening	165185528dc6d23325ef8231d56e3238	https://andysreviews.org/wordpress/andy_connor/dc_league_of_super-pets_2022
2022	A Tail of Love	6.5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/a_tail_of_love_2022
2021	Tulsa: The Fire and the Forgotten	6.3	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/tulsa:_the_fire_and_the_forgotten_2021
2021	Our Lady of San Juan Four Centuries of Miracles	6.2	Andy Connor	I didn't understand the dialogues cause i don't speak spanish	5cb1d9680573945a3736024e20673875	https://andysreviews.org/wordpress/andy_connor/our_lady_of_san_juan_four_centuries_of_miracles_2021
1998	Apt Pupil	6.7	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/apt_pupil_1998
2021	Spencer	6.6	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/spencer_2021
2022	Sweet as Pie	6.4	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/sweet_as_pie_2022
2022	Last Exit: Space	5.7	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/last_exit:_space_2022
2022	Dog	6.5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/dog_2022
2022	Borrego	5.5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/borrego_2022
2003	Dogville	8	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/dogville_2003
2021	Soccer Mom Madam	5.4	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/soccer_mom_madam_2021
2022	Spiderhead	5.4	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/spiderhead_2022
2021	The Act of Reading	6.2	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/the_act_of_reading_2021
2022	The Tinder Swindler	7.1	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/the_tinder_swindler_2022
2019	Crown Vic	6.4	Andy Connor	it is a bit far fetched but a good movie overall	80ded2811aa75e6d790902f81afef54c	https://andysreviews.org/wordpress/andy_connor/crown_vic_2019
2022	I Challenger	5.8	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/i_challenger_2022
2021	The Spine of Night	6.3	Andy Connor	A good choice to spent the Sunday evening	165185528dc6d23325ef8231d56e3238	https://andysreviews.org/wordpress/andy_connor/the_spine_of_night_2021
2015	Concussion	7.1	Andy Connor	Yeahh! This movie is definitely a must see	2998ff1d4beb1a58efeb5d7ca19bbaa8	https://andysreviews.org/wordpress/andy_connor/concussion_2015
2022	Lightyear	5.8	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/lightyear_2022
1996	Heaven's Prisoners	5.8	Andy Connor	Too long! i got asleep	fa365788f968dc52f5558465df90befe	https://andysreviews.org/wordpress/andy_connor/heaven's_prisoners_1996
2022	Glorious	5.5	Andy Connor	Awesome movie! It scared the hell out of me	a89f8b5dcf50edcbbb328048b0b73772	https://andysreviews.org/wordpress/andy_connor/glorious_2022
2022	Look at Me: XXXTentacion	7.3	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/look_at_me:_xxxtentacion_2022
2022	Better Nate Than Ever	6.2	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/better_nate_than_ever_2022
2022	The Perfect Pairing	6.5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/the_perfect_pairing_2022
2021	Resort to Love	5.7	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/resort_to_love_2021
2022	Slash/Back	5.4	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/slash/back_2022
2021	Wildhood	6.8	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/wildhood_2021
2022	Run & Gun	5.2	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/run_&_gun_2022
2022	Dirty Daddy: The Bob Saget Tribute	6.5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/dirty_daddy:_the_bob_saget_tribute_2022
2021	Rumble	5.9	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/rumble_2021
1993	Last Action Hero	6.4	Andy Connor	Too long! i got asleep	fa365788f968dc52f5558465df90befe	https://andysreviews.org/wordpress/andy_connor/last_action_hero_1993
2021	The Clue to Love	5.4	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/the_clue_to_love_2021
2021	WeWork: Or the Making and Breaking of a $47 Billion Unicorn	6.6	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/wework:_or_the_making_and_breaking_of_a_$47_billion_unicorn_2021
2021	Pray Away	6.5	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/pray_away_2021
2021	Trippin' with the Kandasamys	5	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/trippin'_with_the_kandasamys_2021
2022	The 64th Annual Grammy Awards	5	Andy Connor	Too long! i got asleep	fa365788f968dc52f5558465df90befe	https://andysreviews.org/wordpress/andy_connor/the_64th_annual_grammy_awards_2022
1975	The Rocky Horror Picture Show	7.4	Claire Johnson	Not really a Scary movie	6861e5608ff62346025f2c10c4194302	https://myspace.us/claires_word/movies/claire_johnson/the_rocky_horror_picture_show_1975
2021	Who Killed the KLF?	7	Claire Johnson	A good movie even for a Documentary	69762be3a6ea19fe8182399467b395b9	https://myspace.us/claires_word/movies/claire_johnson/who_killed_the_klf?_2021
2021	The Souvenir: Part II	7.3	Claire Johnson	A good movie to watch with your couple	f18e6af7a735bde07f9fc7e464856620	https://myspace.us/claires_word/movies/claire_johnson/the_souvenir:_part_ii_2021
2021	Where Is Anne Frank	6.4	Claire Johnson	That's what I call a great choice!	5f22f1ec97a809878d9f599cdd738f80	https://myspace.us/claires_word/movies/claire_johnson/where_is_anne_frank_2021
2002	Insomnia	7.2	Claire Johnson	Yeahh! This movie is definitely a must see	a454f1cdf9793c46463a92f4739855e8	https://myspace.us/claires_word/movies/claire_johnson/insomnia_2002
1978	The Shout	6.6	Claire Johnson	Awesome movie! It scared the hell out of me	73ebcdc52c9e21bc1ec1e68eafedb702	https://myspace.us/claires_word/movies/claire_johnson/the_shout_1978
2021	The One and Only Dick Gregory	7.9	Claire Johnson	A good movie even for a Documentary	69762be3a6ea19fe8182399467b395b9	https://myspace.us/claires_word/movies/claire_johnson/the_one_and_only_dick_gregory_2021
2003	The Lord of the Rings: The Return of the King	9	Claire Johnson	A good choice to spent the Saturday evening	69312425ab8a6286b552630ff5711fbb	https://myspace.us/claires_word/movies/claire_johnson/the_lord_of_the_rings:_the_return_of_the_king_2003
2021	The Voyeurs	6	Claire Johnson	That's what I call a great choice!	5f22f1ec97a809878d9f599cdd738f80	https://myspace.us/claires_word/movies/claire_johnson/the_voyeurs_2021
2022	Book of Love	5.5	Claire Johnson	That's what I call a great choice!	5f22f1ec97a809878d9f599cdd738f80	https://myspace.us/claires_word/movies/claire_johnson/book_of_love_2022
2022	Picabo	7	Claire Johnson	A good movie even for a Documentary	69762be3a6ea19fe8182399467b395b9	https://myspace.us/claires_word/movies/claire_johnson/picabo_2022
2022	The Inside Outtakes	8.1	Claire Johnson	A good choice to spent the Saturday evening	69312425ab8a6286b552630ff5711fbb	https://myspace.us/claires_word/movies/claire_johnson/the_inside_outtakes_2022
2022	Paradise Highway	5.4	Claire Johnson	That's what I call a great choice!	5f22f1ec97a809878d9f599cdd738f80	https://myspace.us/claires_word/movies/claire_johnson/paradise_highway_2022
